Total: 57627
Year-Month, Week Of Year, Number of Users, Number of Notebooks
2026-04, 16, 101, 710
2026-04, 15, 185, 1179
2026-04, 14, 111, 183
2026-03, 14, 68, 404
2026-03, 13, 126, 958
2026-03, 12, 167, 1196
2026-03, 11, 187, 1240
2026-03, 10, 111, 887
2026-03, 09, 19, 65
2026-02, 09, 128, 597
2026-02, 08, 183, 1078
2026-02, 07, 161, 634
2026-02, 06, 174, 905
2026-02, 05, 26, 84
2026-01, 05, 71, 450
2026-01, 04, 107, 741
2026-01, 03, 62, 406
2026-01, 02, 3, 14
2025-12, 52, 33, 91
2025-12, 51, 96, 1433
2025-12, 50, 164, 1304
2025-12, 49, 101, 776
2025-12, 01, 1, 1
2025-11, 48, 100, 364
2025-11, 47, 100, 614
2025-11, 46, 127, 705
2025-11, 45, 126, 1388
2025-11, 44, 27, 108
2025-10, 44, 102, 718
2025-10, 43, 59, 273
2025-10, 42, 129, 744
2025-10, 41, 125, 867
2025-10, 40, 167, 1527
2025-09, 40, 87, 850
2025-09, 39, 101, 489
2025-09, 38, 119, 828
2025-09, 37, 147, 663
2025-09, 36, 122, 1145
2025-08, 35, 40, 297
2025-08, 34, 16, 67
2025-08, 33, 32, 101
2025-08, 32, 11, 254
2025-08, 31, 5, 302
2025-07, 31, 13, 195
2025-07, 30, 49, 447
2025-07, 29, 49, 558
2025-07, 28, 124, 1042
2025-07, 27, 55, 680
2025-06, 27, 32, 486
2025-06, 26, 128, 1247
2025-06, 25, 49, 192
2025-06, 24, 20, 144
2025-06, 23, 20, 151
2025-05, 22, 50, 576
2025-05, 21, 166, 752
2025-05, 20, 118, 551
2025-05, 19, 131, 796
2025-05, 18, 61, 159
2025-04, 18, 55, 318
2025-04, 17, 84, 614
2025-04, 16, 80, 372
2025-04, 15, 128, 673
2025-04, 14, 88, 185
2025-03, 14, 12, 79
2025-03, 13, 77, 1050
2025-03, 12, 146, 825
2025-03, 11, 106, 690
2025-03, 10, 113, 778
2025-03, 09, 47, 195
2025-02, 09, 68, 340
2025-02, 08, 127, 811
2025-02, 07, 113, 453
2025-02, 06, 110, 317
2025-02, 05, 17, 94
2025-01, 05, 46, 237
2025-01, 04, 59, 397
2025-01, 03, 16, 191
2025-01, 02, 2, 2
2024-12, 52, 1, 1
2024-12, 51, 11, 52
2024-12, 50, 116, 566
2024-12, 49, 97, 996
2024-12, 48, 17, 187
2024-12, 01, 14, 17
2024-11, 48, 58, 292
2024-11, 47, 98, 614
2024-11, 46, 169, 1642
2024-11, 45, 82, 453
2024-11, 44, 29, 90
2024-10, 44, 18, 69
2024-10, 43, 69, 270
2024-10, 42, 64, 347
2024-10, 41, 67, 606
2024-10, 40, 71, 418
2024-09, 40, 25, 282
2024-09, 39, 51, 478
2024-09, 38, 113, 1307
2024-09, 37, 72, 636
2024-09, 36, 68, 716
2024-09, 35, 5, 50
2024-08, 35, 58, 463
2024-08, 34, 15, 72
2024-08, 33, 8, 40
2024-08, 32, 14, 143
2024-08, 31, 2, 2
2024-07, 31, 1, 16
2024-07, 30, 3, 53
2024-07, 28, 6, 76
2024-07, 27, 8, 49
2024-06, 26, 7, 48
2024-06, 25, 4, 4
2024-06, 24, 24, 197
2024-06, 23, 38, 112
2024-06, 22, 5, 5
2024-05, 22, 14, 145
2024-05, 21, 84, 229
2024-05, 20, 28, 148
2024-05, 19, 34, 88
2024-05, 18, 27, 104
2024-04, 18, 28, 264
2024-04, 17, 50, 184
2024-04, 16, 59, 721
2024-04, 15, 18, 122
2024-04, 14, 7, 16
